"","train.X.V.","predict_trainNN"
"320",14.071,13.6605948071975
"463",14.954,17.7740037912902
"290",29.611,30.3496697137603
"333",11.17,10.6516625568794
"263",13.523,14.7066486461546
"349",7.5748,7.23299729467886
"55",14.895,14.9438165148669
"201",18.772,18.6036194887676
"407",23.853,22.1972656710167
"38",6.5617,5.2229096982785
"345",6.792,8.02023633612868
"354",20.591,20.2867859531695
"106",22.85,22.9038461155652
"40",20.239,20.6721940899785
"162",16.886,17.2669130595917
"357",19.702,19.1982343704934
"342",8.2522,8.65173855106245
"221",9.9852,10.9129928658158
"132",31.144,29.6998166513604
"294",28.655,29.4121207063567
"412",22.036,20.5218244216837
"15",13.41,13.0540085142637
"155",30.38,24.0148488631587
"26",9.7491,9.5521100421122
"454",19.865,20.0713348184378
"358",19.357,18.8348596430623
"136",30.076,28.4531060089323
"200",18.973,18.9543115178212
"462",15.162,18.0331649559193
"274",40.066,34.3934393230766
"209",15.467,15.6261680108163
"27",9.211,9.20050045124887
"181",11.75,10.6163056812234
"91",30.794,29.5425213466388
"356",20.099,19.5638229981877
"10",14.982,14.46178543335
"419",18.754,18.1571679568694
"34",6.3024,6.69229688219033
"389",18.019,9.84294726852349
"69",8.7898,9.00639356879253
"423",15.62,16.8379917346486
"153",22.931,24.3650602792055
"394",24.967,25.9794416455003
"249",17.782,17.4448266729594
"177",12.739,12.0499901863735
"306",24.501,26.8873447989242
"373",12.128,13.8390663441741
"257",16.29,15.7000074766497
"287",30.005,31.0889135777946
"109",20.752,21.7090141477335
"108",21.783,22.0944920043985
"198",19.585,19.6208257563666
"467",19.303,16.6941823272795
"210",14.944,15.2283995289952
"452",20.609,20.5450655089476
"158",17.704,18.6392875029429
"315",14.742,14.8753118355572
"50",16.984,17.0158605385843
"415",20.988,19.499775919559
"63",10.888,11.4898962743656
"53",15.674,15.7837865438102
"120",32.936,33.7105659330167
"284",30.57,31.8483091345562
"426",14.942,15.8872865872332
"309",27.834,26.3099235480933
"166",15.989,15.8818952564357
"102",25.882,24.6178569653441
"143",27.337,26.5148473012284
"456",18.646,19.5822137535564
"7",15.701,15.2570621375651
"355",20.577,19.9172967833559
"196",19.74,20.2574039992372
"29",8.2851,8.49963596217249
"31",6.9871,7.78615491312636
"11",14.761,14.1955118577025
"161",17.063,17.6163763070055
"279",31.493,33.1301888441373
"343",7.9693,8.44383070073368
"411",22.364,20.8659793710126
"58",13.323,13.6516034711771
"350",8.3277,7.0474894678345
"388",11.644,10.037578762825
"439",23.317,23.0961956412026
"116",19.785,19.1888024122856
"203",17.903,17.8958119920664
