"","trainset.X.V","TrainingPredicted"
"320",14.071,14.3040393397092
"463",14.954,16.7546482803908
"290",29.611,29.5171843163436
"333",11.17,11.6102242076588
"263",13.523,14.3100249669533
"349",7.5748,7.73562868028399
"55",14.895,14.8977346175979
"201",18.772,18.8779237805963
"407",23.853,23.4124265310871
"38",6.5617,7.52622340172449
"345",6.792,7.21187419874716
"354",20.591,20.100823698913
"106",22.85,22.1381317917136
"40",20.239,19.8438098473369
"162",16.886,16.6586126255823
"357",19.702,19.49499665037
"342",8.2522,8.30049661702039
"221",9.9852,10.0662963527947
"132",31.144,30.7944145117469
"294",28.655,28.742984225288
"412",22.036,21.7619043239691
"15",13.41,13.4764004194275
"155",30.38,30.1736201244228
"26",9.7491,9.7742031184208
"454",19.865,20.0809202748576
"358",19.357,18.9988126381841
"136",30.076,29.7901548247065
"200",18.973,19.0554586389296
"462",15.162,16.8512457030854
"274",40.066,35.3667475311839
"209",15.467,15.4448090625882
"27",9.211,9.34394887871907
"181",11.75,11.4289157495085
"91",30.794,30.5143996394262
"356",20.099,19.8189623644513
"10",14.982,15.1405481524318
"419",18.754,17.9828700666467
"34",6.3024,6.649804676046
"389",18.019,13.6786601909783
"69",8.7898,9.10272965041965
"423",15.62,15.5050866078062
"153",22.931,24.8608155492959
"394",24.967,24.8598011441873
"249",17.782,18.5908506023895
"177",12.739,12.4866842967582
"306",24.501,25.3077246996659
"373",12.128,11.969953411993
"257",16.29,17.3158799234901
"287",30.005,30.1150328752201
"109",20.752,21.0643608041965
"108",21.783,21.4403169881296
"198",19.585,19.4709292806926
"467",19.303,20.3039628301902
"210",14.944,15.2029753757315
"452",20.609,20.9108634801722
"158",17.704,17.0537923107648
"315",14.742,14.936150457458
"50",16.984,17.0861948039395
"415",20.988,20.5668283613741
"63",10.888,11.0253077148472
"53",15.674,15.4330645550446
"120",32.936,32.6006017910578
"284",30.57,30.5045706333257
"426",14.942,15.4037354636831
"309",27.834,26.9946315616013
"166",15.989,15.8601910423646
"102",25.882,25.7160822578285
"143",27.337,26.8806790805145
"456",18.646,18.3901308836173
"7",15.701,15.4427513604376
"355",20.577,20.010171256647
"196",19.74,19.7053086981529
"29",8.2851,8.38181800363041
"31",6.9871,7.47455034927347
"11",14.761,15.0441783602721
"161",17.063,16.779581871838
"279",31.493,30.9211471838555
"343",7.9693,8.0692592574012
"411",22.364,22.4107934989809
"58",13.323,13.4329849397528
"350",8.3277,8.83224417510215
"388",11.644,11.3903481782881
"439",23.317,23.3114860217927
"116",19.785,20.5922565253123
"203",17.903,17.8794015839283
"283",30.8,30.5749288697641
"178",12.371,12.0715221707186
"179",12.181,11.8644126151068
"174",13.915,13.4711644080237
"97",28.333,28.1636462967651
"398",25.695,24.8796328774069
"100",26.357,26.1066192476657
"296",27.962,27.9355260176871
"280",31.209,30.7995894480945
"352",21.592,20.2910771498027
"271",14.453,14.6203975158635
"225",8.9511,8.97340410458992
"435",23.505,23.3988345532421
"66",9.7609,9.73020581087142
"310",29.804,28.0173893062831
"48",17.657,17.6479083016641
"150",23.691,24.2588535540358
"252",17.654,18.0972866083072
"33",6.33,6.68320972715712
"433",23.366,23.5511841769285
"230",7.3045,7.56373763836517
"371",13.321,13.2278034295495
"135",30.486,29.9961626612406
